resource,consumer
Amphipoda,Glyceridae
detritus,Glyceridae
Polychaeta,Glyceridae
Aequipecten tehuelchus,Pseudopercis semifasciata
Aphrodite,Pseudopercis semifasciata
Arbacia dufresnii,Pseudopercis semifasciata
echinoids,Acanthistius patachonicus
Echiurids,Acanthistius patachonicus
Engraulis anchoita,Pseudopercis semifasciata
Enteroctopus megalocyathus,Pseudopercis semifasciata
Eunicidae,Pseudopercis semifasciata
Fissurella spp,Pseudopercis semifasciata
Helcogrammoides cunninghami,Pseudopercis semifasciata
detritus,Aequipecten tehuelchus
phytoplankton,Aequipecten tehuelchus
zooplankton,Agonopsis chiloensis
detritus,Amphipoda
phytoplankton,Amphipoda
POM,Amphipoda
Nereididae,Aphrodite
Polychaeta,Aphrodite
biofilm,Arbacia dufresnii
Mytilus edulis,Arbacia dufresnii
Doryteuthis gahi,Arctocephalus australis
Engraulis anchoita,Arctocephalus australis
Illex argentinus,Arctocephalus australis
Merluccius hubbsi,Arctocephalus australis
Munida gregaria,Arctocephalus australis
Cynoscion guatucupa,Arctocephalus australis
Patagonotothen spp,Arctocephalus australis
Trachurus lathami,Arctocephalus australis
Pleoticus muelleri,Arctocephalus australis
Pterygosquilla armata armata,Arctocephalus australis
Raneya spp,Arctocephalus australis
Sebastes oculatus,Arctocephalus australis
detritus,Artemesia longinaris
phytoplankton,Artemesia longinaris
zooplankton,Artemesia longinaris
detritus,Ascidiacea
phytoplankton,Ascidiacea
zooplankton,Ascidiacea
Mytilus edulis,Asteroidea
Bivalve,Asteroidea
Artemesia longinaris,Atlantoraja castelnaui
Atlantoraja castelnaui,Atlantoraja castelnaui
Cynoscion guatucupa,Atlantoraja castelnaui
Dules auriga,Atlantoraja castelnaui
Engraulis anchoita,Atlantoraja castelnaui
Libidoclaea granaria,Atlantoraja castelnaui
Libinia spinosa,Atlantoraja castelnaui
Mullus argentinae,Atlantoraja castelnaui
Mustelus schmitti,Atlantoraja castelnaui
Nemadactylus bergi,Atlantoraja castelnaui
Octopus tehuelchus,Atlantoraja castelnaui
Ovalipes trimaculatus,Atlantoraja castelnaui
Paralichthys spp,Atlantoraja castelnaui
Parona signata,Atlantoraja castelnaui
Percophis brasiliensis,Atlantoraja castelnaui
Pleoticus muelleri,Atlantoraja castelnaui
Raneya spp,Atlantoraja castelnaui
Sympterygia spp,Atlantoraja castelnaui
Trachurus lathami,Atlantoraja castelnaui
Triathalassothia argentina,Atlantoraja castelnaui
Stromateus brasiliensis,Atlantoraja castelnaui
Pinguipes brasilianus,Atlantoraja castelnaui
Artemesia longinaris,Atlantoraja cyclophora
Decapoda,Atlantoraja cyclophora
Dules auriga,Atlantoraja cyclophora
Eledone massyae,Atlantoraja cyclophora
Engraulis anchoita,Atlantoraja cyclophora
Eurypodius latreillii,Atlantoraja cyclophora
isopods,Atlantoraja cyclophora
Leurocyclus tuberculosus,Atlantoraja cyclophora
Libinia spinosa,Atlantoraja cyclophora
Mullus argentinae,Atlantoraja cyclophora
Munida gregaria,Atlantoraja cyclophora
Octopus tehuelchus,Atlantoraja cyclophora
Ovalipes trimaculatus,Atlantoraja cyclophora
Peltarion spinosulum,Atlantoraja cyclophora
Pinguipes brasilianus,Atlantoraja cyclophora
Pleoticus muelleri,Atlantoraja cyclophora
Raneya spp,Atlantoraja cyclophora
Trachurus lathami,Atlantoraja cyclophora
POM,Aulacomya atra
Amphipoda,Austrolycus laticinctus
isopods,Austrolycus laticinctus
POM,Austropandalus grayi
detritus,Austropandalus grayi
zooplankton,Austropandalus grayi
POM,Balanus spp
Amphipoda,Bassanago albescens
Bivalve,Bassanago albescens
Cnidaria,Bassanago albescens
Illex argentinus,Bassanago albescens
Iluocoetes sp,Bassanago albescens
isopods,Bassanago albescens
Patagonotothen spp,Bassanago albescens
Polychaeta,Bassanago albescens
Psammobatis spp,Bassanago albescens
Agonopsis chiloensis,Bathyraja spp
Amphipoda,Bathyraja spp
Austropandalus grayi,Bathyraja spp
Cottoperca gobio,Bathyraja spp
Doryteuthis gahi,Bathyraja spp
Eurypodius latreillii,Bathyraja spp
Illex argentinus,Bathyraja spp
isopods,Bathyraja spp
Libidoclaea granaria,Bathyraja spp
Libinia spinosa,Bathyraja spp
Macruronus magellanicus,Bathyraja spp
Majidae,Bathyraja spp
Munida gregaria,Bathyraja spp
Mytilus edulis,Bathyraja spp
Myxine spp,Bathyraja spp
Nereididae,Bathyraja spp
Pagurus comptus,Bathyraja spp
Paralichthys spp,Bathyraja spp
Patagonotothen spp,Bathyraja spp
Peltarion spinosulum,Bathyraja spp
Pleoticus muelleri,Bathyraja spp
Polychaeta,Bathyraja spp
Psammobatis spp,Bathyraja spp
Pterygosquilla armata armata,Bathyraja spp
Raneya spp,Bathyraja spp
Semirossia tenera,Bathyraja spp
POM,Betaeus truncatus
Amphipoda,Betaeus truncatus
phytoplankton,Bivalve
POM,Bivalve
Decapoda,Bovichthys argentinus
Amphipoda,Bovichthys argentinus
isopods,Bovichthys argentinus
Gasteropods,Bovichthys argentinus
Polychaeta,Bovichthys argentinus
POM,Bryozoa
detritus,Buccinanops globulosus
Polychaeta,Buccinanops globulosus
Bivalve,Callorhinchus callorynchus
Asteroidea,Callorhinchus callorynchus
Illex argentinus,Callorhinchus callorynchus
Majidae,Callorhinchus callorynchus
Munida gregaria,Callorhinchus callorynchus
echinoids,Callorhinchus callorynchus
Pleoticus muelleri,Callorhinchus callorynchus
Polychaeta,Callorhinchus callorynchus
Pterygosquilla armata armata,Callorhinchus callorynchus
Amphipoda,Carcinus maenas
Bivalve,Carcinus maenas
Carcinus maenas,Carcinus maenas
Macroalgae ,Carcinus maenas
