"","resource","consumer"
"1","Acantharea","Acanthephyra pelagica"
"2","Acantharea","Euchirella rostromagna"
"3","Acantharea","Euphausia frigida"
"4","Acantharea","Euphausia superba"
"5","Acantharea","Euphausia triacantha"
"6","Acantharea","Euphausia vallentini"
"7","Acantharea","Gaetanus tenuispinus"
"8","Acantharea","Gennadas kempi"
"9","Acantharea","Lucicutia"
"10","Acantharea","Metridia gerlachei"
"11","Acantharea","Metridia lucens"
"12","Acantharea","Nematocarcinus lanceopes"
"13","Acantharea","Neognathophausia gigas"
"14","Acantharea","Pasiphaea scotiae"
"15","Acantharea","Petalidium foliaceum"
"16","Acantharea","Pleuromamma abdominalis"
"17","Acantharea","Pleuromamma antarctica"
"18","Acantharea","Pleuromamma robusta"
"19","Acantharea","Pseudoamallothrix cenotelis"
"20","Acantharea","Salpa thompsoni"
"21","Acantharea","Scaphocalanus australis"
"22","Acantharea","Scaphocalanus farrani"
"23","Acantharea","Sergestes"
"24","Acantharea","Spinocalanus abyssalis"
"25","Acantharea","Thysanoessa macrura"
"26","Acantharea","Thysanoessa vicina"
"27","Acanthephyra pelagica","Calycopsis borchgrevinki"
"28","Acanthephyra pelagica","Dimophyes arctica"
"29","Acanthephyra pelagica","Diphyes antarctica"
"30","Acanthephyra pelagica","Electrona antarctica"
"31","Acanthephyra pelagica","Eudoxoides spiralis"
"32","Acanthephyra pelagica","Gigantocypris muelleri"
"33","Acanthephyra pelagica","Gilia reticulata"
"34","Acanthephyra pelagica","Gymnoscopelus bolini"
"35","Acanthephyra pelagica","Gymnoscopelus braueri"
"36","Acanthephyra pelagica","Gymnoscopelus fraseri"
"37","Acanthephyra pelagica","Gymnoscopelus hintonoides"
"38","Acanthephyra pelagica","Gymnoscopelus piabilis"
"39","Acanthephyra pelagica","Marrus antarcticus"
"40","Acanthephyra pelagica","Muggiaea bargmannae"
"41","Acanthephyra pelagica","Nannobrachium achirus"
"42","Acanthephyra pelagica","Onykia ingens"
"43","Acanthephyra pelagica","Pandea rubra"
"44","Acanthephyra pelagica","Pleurobrachia"
"45","Acanthephyra pelagica","Poromitra crassiceps"
"46","Acanthephyra pelagica","Symbolophorus boops"
"47","Aetideus","Alacia hettacra"
"48","Aetideus","Atolla wyvillei"
"49","Aetideus","Austrinoecia isocheira"
"50","Aetideus","Bathyteuthis abyssicola"
"51","Aetideus","Batoteuthis skolops"
"52","Aetideus","Beroe"
"53","Aetideus","Borostomias antarcticus"
"54","Aetideus","Brachioteuthis linkovskyi"
"55","Aetideus","Brachioteuthis picta"
"56","Aetideus","Calanus australis"
"57","Aetideus","Callianira"
"58","Aetideus","Calycopsis borchgrevinki"
"59","Aetideus","Candacia"
"60","Aetideus","Chiroteuthis veranyi"
"61","Aetideus","Conchoecilla chuni"
"62","Aetideus","Conchoecissa symmetrica"
"63","Aetideus","Corycaeus"
"64","Aetideus","Crossota brunnea"
"65","Aetideus","Cyclothone"
"66","Aetideus","Cyphocaris faurei"
"67","Aetideus","Cyphocaris richardi"
