"","resource","consumer"
"1","Acantharea","Acanthephyra pelagica"
"2","Acantharea","Euchirella rostromagna"
"3","Acantharea","Euphausia frigida"
"4","Acantharea","Euphausia superba"
"5","Acantharea","Euphausia triacantha"
"7","Acantharea","Gaetanus tenuispinus"
"8","Acantharea","Gennadas kempi"
"9","Acantharea","Lucicutia"
"10","Acantharea","Metridia gerlachei"
"11","Acantharea","Metridia lucens"
"12","Acantharea","Nematocarcinus lanceopes"
"13","Acantharea","Neognathophausia gigas"
"14","Acantharea","Pasiphaea scotiae"
"15","Acantharea","Petalidium foliaceum"
"16","Acantharea","Pleuromamma abdominalis"
"17","Acantharea","Pleuromamma antarctica"
"18","Acantharea","Pleuromamma robusta"
"19","Acantharea","Pseudoamallothrix cenotelis"
"20","Acantharea","Salpa thompsoni"
"21","Acantharea","Scaphocalanus australis"
"22","Acantharea","Scaphocalanus farrani"
"23","Acantharea","Sergestes"
"24","Acantharea","Spinocalanus abyssalis"
"25","Acantharea","Thysanoessa macrura"
"26","Acantharea","Thysanoessa vicina"
"27","Acanthephyra pelagica","Calycopsis borchgrevinki"
"28","Acanthephyra pelagica","Dimophyes arctica"
"29","Acanthephyra pelagica","Diphyes antarctica"
"30","Acanthephyra pelagica","Electrona antarctica"
"31","Acanthephyra pelagica","Eudoxoides spiralis"
"32","Acanthephyra pelagica","Gigantocypris muelleri"
"33","Acanthephyra pelagica","Gilia reticulata"
"34","Acanthephyra pelagica","Gymnoscopelus bolini"
"35","Acanthephyra pelagica","Gymnoscopelus braueri"
"39","Acanthephyra pelagica","Marrus antarcticus"
"40","Acanthephyra pelagica","Muggiaea bargmannae"
"41","Acanthephyra pelagica","Nannobrachium achirus"
"43","Acanthephyra pelagica","Pandea rubra"
"44","Acanthephyra pelagica","Pleurobrachia"
"47","Aetideus","Alacia hettacra"
"48","Aetideus","Atolla wyvillei"
"49","Aetideus","Austrinoecia isocheira"
"50","Aetideus","Bathyteuthis abyssicola"
"51","Aetideus","Batoteuthis skolops"
"52","Aetideus","Beroe"
"53","Aetideus","Borostomias antarcticus"
"55","Aetideus","Brachioteuthis picta"
"57","Aetideus","Callianira"
"58","Aetideus","Calycopsis borchgrevinki"
"59","Aetideus","Candacia"
"63","Aetideus","Corycaeus"
"64","Aetideus","Crossota brunnea"
"65","Aetideus","Cyclothone"
"66","Aetideus","Cyphocaris faurei"
"67","Aetideus","Cyphocaris richardi"
"68","Aetideus","Dimophyes arctica"
"69","Aetideus","Diphyes antarctica"
"70","Aetideus","Electrona antarctica"
"73","Aetideus","Euchirella rostromagna"
"74","Aetideus","Eudoxoides spiralis"
"75","Aetideus","Eukrohnia hamata"
"76","Aetideus","Euphausia frigida"
"77","Aetideus","Euphausia superba"
"78","Aetideus","Euphausia triacantha"
"80","Aetideus","Gaetanus tenuispinus"
"81","Aetideus","Galiteuthis glacialis"
"82","Aetideus","Gigantocypris muelleri"
"83","Aetideus","Gilia reticulata"
"84","Aetideus","Gonatus antarcticus"
