"","resource","consumer"
"1","Acantharea","Acanthephyra pelagica"
"2","Acantharea","Euchirella rostromagna"
"3","Acantharea","Euphausia frigida"
"4","Acantharea","Euphausia superba"
"5","Acantharea","Euphausia triacantha"
"6","Acantharea","Gaetanus tenuispinus"
"7","Acantharea","Gennadas kempi"
"8","Acantharea","Lucicutia"
"9","Acantharea","Metridia gerlachei"
"10","Acantharea","Metridia lucens"
"11","Acantharea","Nematocarcinus lanceopes"
"12","Acantharea","Neognathophausia gigas"
"13","Acantharea","Pasiphaea scotiae"
"14","Acantharea","Petalidium foliaceum"
"15","Acantharea","Pleuromamma abdominalis"
"16","Acantharea","Pleuromamma antarctica"
"17","Acantharea","Pleuromamma robusta"
"18","Acantharea","Pseudoamallothrix cenotelis"
"19","Acantharea","Salpa thompsoni"
"20","Acantharea","Scaphocalanus australis"
"21","Acantharea","Scaphocalanus farrani"
"22","Acantharea","Sergestes"
"23","Acantharea","Spinocalanus abyssalis"
"24","Acantharea","Thysanoessa macrura"
"25","Acantharea","Thysanoessa vicina"
"26","Acanthephyra pelagica","Calycopsis borchgrevinki"
"27","Acanthephyra pelagica","Dimophyes arctica"
"28","Acanthephyra pelagica","Diphyes antarctica"
"29","Acanthephyra pelagica","Electrona antarctica"
"30","Acanthephyra pelagica","Eudoxoides spiralis"
"31","Acanthephyra pelagica","Gigantocypris muelleri"
"32","Acanthephyra pelagica","Gilia reticulata"
"33","Acanthephyra pelagica","Gymnoscopelus bolini"
"34","Acanthephyra pelagica","Gymnoscopelus braueri"
"35","Acanthephyra pelagica","Marrus antarcticus"
"36","Acanthephyra pelagica","Muggiaea bargmannae"
"37","Acanthephyra pelagica","Nannobrachium achirus"
"38","Acanthephyra pelagica","Pandea rubra"
"39","Acanthephyra pelagica","Pleurobrachia"
"40","Aetideus","Alacia hettacra"
"41","Aetideus","Atolla wyvillei"
"42","Aetideus","Austrinoecia isocheira"
"43","Aetideus","Bathyteuthis abyssicola"
"44","Aetideus","Batoteuthis skolops"
"45","Aetideus","Beroe"
"46","Aetideus","Borostomias antarcticus"
"47","Aetideus","Brachioteuthis picta"
"48","Aetideus","Callianira"
"49","Aetideus","Calycopsis borchgrevinki"
"50","Aetideus","Candacia"
"51","Aetideus","Corycaeus"
"52","Aetideus","Crossota brunnea"
"53","Aetideus","Cyclothone"
"54","Aetideus","Cyphocaris faurei"
"55","Aetideus","Cyphocaris richardi"
"56","Aetideus","Dimophyes arctica"
"57","Aetideus","Diphyes antarctica"
"58","Aetideus","Electrona antarctica"
"59","Aetideus","Euchirella rostromagna"
"60","Aetideus","Eudoxoides spiralis"
"61","Aetideus","Eukrohnia hamata"
"62","Aetideus","Euphausia frigida"
"63","Aetideus","Euphausia superba"
"64","Aetideus","Euphausia triacantha"
"65","Aetideus","Gaetanus tenuispinus"
"66","Aetideus","Galiteuthis glacialis"
"67","Aetideus","Gigantocypris muelleri"
"68","Aetideus","Gilia reticulata"
"69","Aetideus","Gonatus antarcticus"
