genera	species	class
Actinocyclus	Actinocyclus actinochilus	Bacillariophyceae
Actinocyclus	Actinocyclus spiritus	NA
Actinocyclus	Actinocyclus utricularis	NA
Azpeitia	Azpeitia tabularis	Bacillariophyceae
Banquisia	Banquisia belgicae	Bacillariophyceae
Chaetoceros	Chaetoceros bulbosum	NA
Chaetoceros	Chaetoceros concavicornis	Bacillariophyceae
Chaetoceros	Chaetoceros criophilum	NA
Chaetoceros	Chaetoceros dichaeta	Bacillariophyceae
Chaetoceros	Chaetoceros flexuosum	NA
Chaetoceros	Chaetoceros neglectum	NA
Chaetoceros	Chaetoceros pelagicus	Bacillariophyceae
Corethron	Corethron criophilum	Bacillariophyceae
Coscinodiscus	Coscinodiscus oculoides	Bacillariophyceae
Eucampia	Eucampia antarctica	Bacillariophyceae
Fragilariopsis	Fragilariopsis curta	Bacillariophyceae
Fragilariopsis	Fragilariopsis cylindrus	Bacillariophyceae
Fragilariopsis	Fragilariopsis kerguelensis	Bacillariophyceae
Fragilariopsis	Fragilariopsis linearis	Bacillariophyceae
Fragilariopsis	Fragilariopsis nana	NA
Fragilariopsis	Fragilariopsis obliquecostata	Bacillariophyceae
Fragilariopsis	Fragilariopsis pseudonana	NA
Fragilariopsis	Fragilariopsis rhombica	Bacillariophyceae
Fragilariopsis	Fragilariopsis ritscheri	NA
Fragilariopsis	Fragilariopsis separanda	NA
Fragilariopsis	Fragilariopsis sublinearis	Bacillariophyceae
Fragilariopsis	Fragilariopsis vanheurckii	NA
Manguinea	Manguinea fusiformis	Bacillariophyceae
Manguinea	Manguinea rigida	Bacillariophyceae
Navicula	Navicula glaciei	Bacillariophyceae
Navicula	Navicula schefterae	NA
Nitzschia	Nitzschia kerguelensis	NA
Nitzschia	Nitzschia lecointei	NA
Nitzschia	Nitzschia neglecta	NA
Odontella	Odontella weissflogii	Bacillariophyceae
Porosira	Porosira glacialis	Bacillariophyceae
Porosira	Porosira pseudodenticulata	NA
Proboscia	Proboscia alata	Bacillariophyceae
Proboscia	Proboscia inermi	Bacillariophyceae
Proboscia	Proboscia truncata	Bacillariophyceae
Pseudo-Nitzschia	Pseudo-Nitzschia heimii	Bacillariophyceae
Pseudo-Nitzschia	Pseudo-Nitzschia liniola	NA
Pseudo-Nitzschia	Pseudo-Nitzschia prolongatoides	Bacillariophyceae
Pseudo-Nitzschia	Pseudo-Nitzschia subcurvata	NA
Rhizosolenia	Rhizosolenia antennata	Bacillariophyceae
Stellarima	Stellarima microtrias	Bacillariophyceae
Thalassiosira	Thalassiosira australis	NA
Thalassiosira	Thalassiosira frenguelliopsis	NA
Thalassiosira	Thalassiosira gracilis	Bacillariophyceae
Thalassiosira	Thalassiosira gracilis expecta	NA
Thalassiosira	Thalassiosira gravida	Bacillariophyceae
Thalassiosira	Thalassiosira lentiginosa	Bacillariophyceae
Thalassiosira	Thalassiosira ritscheri	NA
Thalassiosira	Thalassiosira trifulta	NA
Thalassiosira	Thalassiosira tumida	Bacillariophyceae
Trichotoxon	Trichotoxon reinboldii	Bacillariophyceae
Phytodetritus	Phytodetritus	NA
Sediment	Sediment	NA
Dictyocha	Dictyocha speculum	Chrysophyceae
Phaeocystis	Phaeocystis antarctica	Prymnesiophyceae
Silicioflagellata	Silicioflagellata	NA
Alcyonium	Alcyonium antarcticum	NA
Chaetoceros	Chaetoceros socialis	Bacillariophyceae
Cylindrotheca	Cylindrotheca closterium	Bacillariophyceae
Thalassiosira	Thalassiosira antarctica	Bacillariophyceae
