"","db","query","genus","family","order","class","phylum"
"1","itis","Acantharea",NA,NA,NA,NA,NA
"2","itis","Acanthephyra pelagica","Acanthephyra","Acanthephyridae","Decapoda","Malacostraca","Arthropoda"
"3","itis","Aetideus","Aetideus","Aetideidae","Calanoida","Maxillopoda","Arthropoda"
"4","itis","Alacia belgicae","Alacia","Halocyprididae","Halocyprida","Ostracoda","Arthropoda"
"5","itis","Alacia hettacra","Alacia","Halocyprididae","Halocyprida","Ostracoda","Arthropoda"
"6","itis","Alluroteuthis antarcticus","Alluroteuthis","Neoteuthidae","Teuthida","Cephalopoda","Mollusca"
"7","itis","Aloricate ciliates",NA,NA,NA,NA,NA
"8","itis","Amphidinium","Amphidinium","Gymnodiniaceae","Gymnodiniales","Dinophyceae",NA
"9","itis","Amphisolenia","Amphisolenia","Amphisoleniaceae","Dinophysiales","Dinophyceae",NA
"10","itis","Antarctomysis maxima","Antarctomysis","Mysidae","Mysida","Malacostraca","Arthropoda"
"11","itis","Appendicularia",NA,NA,NA,"Appendicularia","Chordata"
"12","itis","Arctozenus risso","Arctozenus","Paralepididae","Aulopiformes","Teleostei","Chordata"
"13","itis","Atolla wyvillei","Atolla","Atollidae","Coronatae","Scyphozoa","Cnidaria"
"14","itis","Austrinoecia isocheira",NA,NA,NA,NA,NA
"15","itis","Bacteria",NA,NA,NA,NA,"Bacteria"
"16","itis","Bathylagus antarcticus","Bathylagus","Bathylagidae","Osmeriformes","Teleostei","Chordata"
"17","itis","Bathyteuthis abyssicola","Bathyteuthis","Bathyteuthidae","Teuthida","Cephalopoda","Mollusca"
"18","itis","Batoteuthis skolops","Batoteuthis","Batoteuthidae","Teuthida","Cephalopoda","Mollusca"
"19","itis","Benthalbella elongata","Benthalbella","Scopelarchidae","Aulopiformes","Teleostei","Chordata"
"20","itis","Benthalbella macropinna","Benthalbella","Scopelarchidae","Aulopiformes","Teleostei","Chordata"
"21","itis","Beroe","Beroe","Beroidae","Beroida","Nuda","Ctenophora"
